genome,filter_at,override_filter_at,total_bad_bp,superkingdom_bad_bp,phylum_bad_bp,class_bad_bp,order_bad_bp,family_bad_bp,genus_bad_bp,f_ident,f_major,lineage,comment
TARA_MED_MAG_00112.fa,none,,0,0,0,0,0,0,0,0.6,0.0197,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANW_MAG_00042.fa,none,,0,0,0,0,0,0,0,0.571,0.0285,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00056.fa,none,,0,0,0,0,0,0,0,0.595,0.029,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANW_MAG_00023.fa,genus,,0,0,0,0,0,0,0,0.997,0.529,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__BACL11,
TARA_PON_MAG_00008.fa,genus,,0,0,0,0,0,0,0,1.0,0.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__UBA2521,
TARA_PSE_MAG_00087.fa,genus,,0,0,0,0,0,0,0,1.0,0.652,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__UBA7916;g__UBA7916,
TARA_ANW_MAG_00055.fa,genus,,0,0,0,0,0,0,0,0.994,0.609,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2963;f__UBA2963;g__UBA2963,
TARA_ANE_MAG_00003.fa,genus,,0,0,0,0,0,0,0,1.0,0.869,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Puniceicoccaceae;g__GCA-2699365,
TARA_ION_MAG_00035.fa,none,,0,0,0,0,0,0,0,1.0,0.0912,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00113.fa,none,,0,0,0,0,0,0,0,0.571,0.00875,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00057.fa,genus,,0,0,0,0,0,0,0,1.0,0.885,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N1,
TARA_RED_MAG_00087.fa,none,,0,0,0,0,0,0,0,0.873,0.0426,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ION_MAG_00043.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_MED_MAG_00036.fa,genus,,0,0,0,0,0,0,0,1.0,0.723,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_IOS_MAG_00024.fa,none,,0,0,0,0,0,0,0,0.667,0.0164,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PON_MAG_00055.fa,genus,,0,0,0,0,0,0,0,1.0,0.672,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421,
TARA_ION_MAG_00060.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_MED_MAG_00111.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSE_MAG_00032.fa,genus,,0,0,0,0,0,0,0,1.0,0.596,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__UBA1511,
TARA_ANE_MAG_00049.fa,none,,0,0,0,0,0,0,0,0.444,0.00929,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ASE_MAG_00017.fa,none,,0,0,0,0,0,0,0,0.25,0.0333,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00017.fa,none,,0,0,0,0,0,0,0,0.286,0.0166,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ASW_MAG_00001.fa,genus,,0,0,0,0,0,0,0,1.0,0.879,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7434;g__UBA7434,
TARA_MED_MAG_00094.fa,none,,0,0,0,0,0,0,0,1.0,0.00727,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00044.fa,none,,0,0,0,0,0,0,0,1.0,0.0321,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00081.fa,genus,,0,0,0,0,0,0,0,0.998,0.845,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A,
TARA_PSE_MAG_00033.fa,genus,,0,0,0,0,0,0,0,0.998,0.457,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__TMED113;g__GCA-002701365,
TARA_PSE_MAG_00055.fa,genus,,0,0,0,0,0,0,0,1.0,0.919,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA7985;f__UBA7985;g__UBA7985,
TARA_ANE_MAG_00019.fa,genus,,0,0,0,0,0,0,0,0.994,0.772,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-N2,
TARA_IOS_MAG_00027.fa,genus,,0,0,0,0,0,0,0,0.999,0.875,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__UBA11606,
TARA_PSW_MAG_00064.fa,genus,,0,0,0,0,0,0,0,1.0,0.53,d__Bacteria;p__Myxococcota;c__UBA727;o__UBA4151;f__UBA4151;g__UBA4151,
TARA_PSE_MAG_00006.fa,none,,0,0,0,0,0,0,0,1.0,0.00118,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00088.fa,none,,0,0,0,0,0,0,0,0.375,0.00837,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00011.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_MED_MAG_00002.fa,genus,,0,0,0,0,0,0,0,1.0,0.96,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__TMED78,
TARA_ANE_MAG_00087.fa,genus,,0,0,0,0,0,0,0,0.998,0.777,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas_A,
TARA_PON_MAG_00013.fa,genus,,0,0,0,0,0,0,0,1.0,0.993,d__Bacteria;p__Myxococcota;c__UBA6777;o__UBA6777;f__UBA6777;g__UBA6777,
TARA_IOS_MAG_00053.fa,none,,0,0,0,0,0,0,0,0.0,0.00817,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_ION_MAG_00018.fa,none,,0,0,0,0,0,0,0,1.0,0.0139,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00084.fa,none,,0,0,0,0,0,0,0,0.0,0.00508,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_ANE_MAG_00054.fa,none,,0,0,0,0,0,0,0,0.0,0.00429,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_RED_MAG_00120.fa,genus,,0,0,0,0,0,0,0,0.998,0.804,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__GCA-002724215;g__GCA-2724215,
TARA_MED_MAG_00052.fa,genus,,0,0,0,0,0,0,0,1.0,0.794,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA7455,
TARA_MED_MAG_00067.fa,genus,,0,0,0,0,0,0,0,1.0,0.652,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA7377,
TARA_PSE_MAG_00045.fa,genus,,0,0,0,0,0,0,0,0.992,0.334,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA998;f__UBA3002;g__GCA-2725445,
TARA_RED_MAG_00096.fa,none,,0,0,0,0,0,0,0,0.787,0.144,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00101.fa,genus,,0,0,0,0,0,0,0,0.994,0.781,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K2,
TARA_RED_MAG_00113.fa,none,,0,0,0,0,0,0,0,1.0,0.00163,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00121.fa,none,,0,0,0,0,0,0,0,0.906,0.0185,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00073.fa,none,,0,0,0,0,0,0,0,0.784,0.0482,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00005.fa,genus,,0,0,0,0,0,0,0,1.0,0.886,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA2589,
TARA_PSW_MAG_00039.fa,genus,,0,0,0,0,0,0,0,1.0,0.993,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__bac17;f__UBA816;g__UBA816,
TARA_PSE_MAG_00047.fa,none,,0,0,0,0,0,0,0,0.6,0.0181,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00001.fa,none,,0,0,0,0,0,0,0,0.704,0.0149,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PON_MAG_00051.fa,none,,0,0,0,0,0,0,0,0.393,0.0267,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00068.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSW_MAG_00027.fa,genus,,0,0,0,0,0,0,0,1.0,0.507,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_MED_MAG_00063.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PON_MAG_00040.fa,none,,0,0,0,0,0,0,0,0.952,0.164,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00114.fa,genus,,0,0,0,0,0,0,0,1.0,0.904,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-002722245;g__GCA-002722245,
TARA_RED_MAG_00061.fa,genus,,0,0,0,0,0,0,0,1.0,0.81,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA3495,
TARA_IOS_MAG_00060.fa,none,,0,0,0,0,0,0,0,0.901,0.0321,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00132.fa,genus,,0,0,0,0,0,0,0,1.0,0.974,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,
TARA_MED_MAG_00030.fa,genus,,0,0,0,0,0,0,0,1.0,0.943,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__TMED48,
TARA_PSE_MAG_00082.fa,genus,,0,0,0,0,0,0,0,1.0,0.797,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__GCA-2684655,
TARA_ANW_MAG_00044.fa,none,,0,0,0,0,0,0,0,0.0,0.00176,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_MED_MAG_00110.fa,none,,0,0,0,0,0,0,0,0.833,0.00642,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PON_MAG_00046.fa,genus,,0,0,0,0,0,0,0,0.999,0.642,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED109;f__TMED131;g__GCA-2732015,
TARA_PSE_MAG_00048.fa,genus,,0,0,0,0,0,0,0,1.0,0.737,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1100;g__UBA1100,
TARA_ION_MAG_00070.fa,genus,,0,0,0,0,0,0,0,1.0,0.98,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas_A,
TARA_PSW_MAG_00122.fa,genus,,0,0,0,0,0,0,0,1.0,0.882,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_MED_MAG_00085.fa,genus,,0,0,0,0,0,0,0,1.0,0.62,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED26;f__TMED26;g__TMED26,
TARA_ANE_MAG_00070.fa,genus,,0,0,0,0,0,0,0,0.996,0.545,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Marinoscillaceae;g__Marinoscillum,
TARA_MED_MAG_00033.fa,genus,,0,0,0,0,0,0,0,1.0,0.952,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-40;g__UBA3031,
TARA_PSW_MAG_00131.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_RED_MAG_00033.fa,genus,,0,0,0,0,0,0,0,1.0,0.8,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA2962;g__UBA2962,
TARA_ION_MAG_00011.fa,none,,0,0,0,0,0,0,0,0.0,0.00198,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_ION_MAG_00007.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSW_MAG_00038.fa,genus,,0,0,0,0,0,0,0,1.0,0.804,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,
TARA_ANE_MAG_00024.fa,none,,0,0,0,0,0,0,0,0.737,0.0304,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00137.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSW_MAG_00014.fa,none,,0,0,0,0,0,0,0,0.895,0.0137,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00037.fa,none,,0,0,0,0,0,0,0,1.0,0.0125,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00008.fa,genus,,0,0,0,0,0,0,0,1.0,0.978,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA9664,
TARA_ANE_MAG_00023.fa,genus,,0,0,0,0,0,0,0,0.992,0.257,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA3537,
TARA_ASW_MAG_00023.fa,none,,0,0,0,0,0,0,0,0.95,0.0611,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00023.fa,none,,0,0,0,0,0,0,0,0.655,0.0095,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00038.fa,genus,,0,0,0,0,0,0,0,0.999,0.874,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__Bin127;g__GCA-002708145,
TARA_MED_MAG_00074.fa,genus,,0,0,0,0,0,0,0,1.0,0.75,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2705,
TARA_RED_MAG_00101.fa,none,,0,0,0,0,0,0,0,0.333,0.00503,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00090.fa,none,,0,0,0,0,0,0,0,0.882,0.0139,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PON_MAG_00062.fa,none,,0,0,0,0,0,0,0,0.35,0.00551,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00080.fa,none,,0,0,0,0,0,0,0,0.0,0.00269,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_PSE_MAG_00114.fa,none,,0,0,0,0,0,0,0,0.27,0.0801,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00116.fa,genus,,0,0,0,0,0,0,0,1.0,0.884,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus,
TARA_RED_MAG_00085.fa,genus,,0,0,0,0,0,0,0,1.0,0.908,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__UBA2968;g__UBA2968,
TARA_ANE_MAG_00020.fa,genus,,0,0,0,0,0,0,0,1.0,0.841,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__HIMB59;f__HIMB59;g__HIMB59,
TARA_IOS_MAG_00059.fa,genus,,0,0,0,0,0,0,0,1.0,0.747,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__GCA-002724215;g__GCA-2693325,
TARA_MED_MAG_00086.fa,none,,0,0,0,0,0,0,0,1.0,0.00216,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00001.fa,genus,,0,0,0,0,0,0,0,1.0,0.945,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__GCA-2691145,
TARA_PSW_MAG_00123.fa,genus,,0,0,0,0,0,0,0,0.999,0.714,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__GCA-2684655,
TARA_MED_MAG_00131.fa,genus,,0,0,0,0,0,0,0,0.995,0.248,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA11606;g__UBA11606,
TARA_ION_MAG_00074.fa,none,,0,0,0,0,0,0,0,1.0,0.0018,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00011.fa,genus,,0,0,0,0,0,0,0,0.997,0.845,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1,
TARA_PSE_MAG_00018.fa,genus,,0,0,0,0,0,0,0,1.0,0.705,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Fabibacter,
TARA_PON_MAG_00057.fa,none,,0,0,0,0,0,0,0,0.842,0.0288,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00005.fa,genus,,0,0,0,0,0,0,0,0.999,0.848,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA6522;f__UBA6522;g__UBA6522,
TARA_ANW_MAG_00024.fa,genus,,0,0,0,0,0,0,0,0.999,0.926,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L2,
TARA_PSE_MAG_00105.fa,none,,0,0,0,0,0,0,0,1.0,0.0545,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00010.fa,none,,0,0,0,0,0,0,0,1.0,0.0208,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANW_MAG_00034.fa,none,,0,0,0,0,0,0,0,0.943,0.146,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_SOC_MAG_00012.fa,none,,0,0,0,0,0,0,0,1.0,0.0054,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PON_MAG_00060.fa,none,,0,0,0,0,0,0,0,0.727,0.00236,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00053.fa,none,,0,0,0,0,0,0,0,0.533,0.0493,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00080.fa,genus,,0,0,0,0,0,0,0,1.0,0.869,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,
TARA_PSW_MAG_00093.fa,none,,0,0,0,0,0,0,0,1.0,0.00122,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00105.fa,genus,,0,0,0,0,0,0,0,0.999,0.88,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA5682,
TARA_MED_MAG_00028.fa,genus,,0,0,0,0,0,0,0,0.993,0.784,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2691085;f__GCA-2691085;g__GCA-2691085,
TARA_PSW_MAG_00053.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PSE_MAG_00127.fa,none,,0,0,0,0,0,0,0,1.0,0.00123,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00100.fa,none,,0,0,0,0,0,0,0,0.4,0.0442,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSW_MAG_00089.fa,none,,0,0,0,0,0,0,0,1.0,0.0159,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00076.fa,genus,,0,0,0,0,0,0,0,0.998,0.7,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611,
TARA_ANW_MAG_00069.fa,genus,,0,0,0,0,0,0,0,1.0,0.77,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UBA10066;g__UBA10066,
TARA_RED_MAG_00122.fa,none,,0,0,0,0,0,0,0,1.0,0.0166,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_RED_MAG_00049.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_ASW_MAG_00008.fa,genus,,0,0,0,0,0,0,0,0.985,0.501,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas,
TARA_ASW_MAG_00033.fa,none,,0,0,0,0,0,0,0,0.346,0.0365,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00088.fa,none,,0,0,0,0,0,0,0,0.0,0.00308,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_IOS_MAG_00004.fa,genus,,0,0,0,0,0,0,0,1.0,0.91,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__GCA-002724395,
TARA_IOS_MAG_00058.fa,none,,0,0,0,0,0,0,0,1.0,0.00134,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANE_MAG_00028.fa,genus,,0,0,0,0,0,0,0,0.999,0.871,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__TMED-70;g__TMED-70,
TARA_IOS_MAG_00010.fa,genus,,0,0,0,0,0,0,0,1.0,0.806,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-02-FULL-58-16_A;g__GCA-2717285,
TARA_PSE_MAG_00139.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_ASE_MAG_00012.fa,genus,,0,0,0,0,0,0,0,0.997,0.649,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869,
TARA_ION_MAG_00020.fa,none,,0,0,0,0,0,0,0,0.0,0.00843,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_ION_MAG_00024.fa,none,,0,0,0,0,0,0,0,0.882,0.0208,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_PSE_MAG_00128.fa,genus,,0,0,0,0,0,0,0,0.998,0.539,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio,
TARA_PSE_MAG_00050.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_MED_MAG_00071.fa,none,,0,0,0,0,0,0,0,0.714,0.0165,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00043.fa,none,,0,0,0,0,0,0,0,0.0,0.00293,,too few identifiable hashes; f_ident < 10%. provide a lineage for this genome.
TARA_PSE_MAG_00150.fa,none,,0,0,0,0,0,0,0,0.662,0.0694,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ANW_MAG_00030.fa,none,,0,0,0,0,0,0,0,0.561,0.0214,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00063.fa,genus,,0,0,0,0,0,0,0,0.978,0.576,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter,
TARA_MED_MAG_00044.fa,genus,,0,0,0,0,0,0,0,1.0,0.709,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_ION_MAG_00022.fa,none,,0,0,0,0,0,0,0,0.8,0.00383,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00109.fa,none,,0,0,0,0,0,0,0,0.571,0.0078,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00005.fa,genus,,0,0,0,0,0,0,0,1.0,0.559,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__SCGC-AAA003-L08;f__TMED198;g__TMED198,
TARA_PSE_MAG_00071.fa,none,,0,0,0,0,0,0,0,1.0,0.00319,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ASW_MAG_00035.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_ASW_MAG_00043.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_PON_MAG_00079.fa,none,,0,0,0,0,0,0,0,0.0,0.0,,"no matches for this genome, exiting."
TARA_RED_MAG_00086.fa,none,,0,0,0,0,0,0,0,0.833,0.00479,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_ASW_MAG_00015.fa,genus,,0,0,0,0,0,0,0,0.998,0.757,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G1,
TARA_RED_MAG_00052.fa,none,,0,0,0,0,0,0,0,0.898,0.0915,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_IOS_MAG_00016.fa,none,,0,0,0,0,0,0,0,0.571,0.00777,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00133.fa,none,,0,0,0,0,0,0,0,0.741,0.15,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
TARA_MED_MAG_00068.fa,genus,,0,0,0,0,0,0,0,1.0,0.922,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145,
TARA_IOS_MAG_00030.fa,genus,,0,0,0,0,0,0,0,1.0,0.921,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O1,
TARA_MED_MAG_00114.fa,genus,,0,0,0,0,0,0,0,0.994,0.734,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA11891,
TARA_RED_MAG_00060.fa,none,,0,0,0,0,0,0,0,1.0,0.00714,,too few hashes in major lineage; f_major < 20%. provide a lineage for this genome.
